year,count_of_ref
1925,373
2024,486
1932,191
1992,46
2011,487
1983,104
1942,313
1964,299
1961,361
2019,84
1959,146
1934,94
1940,31
2023,425
1967,56
2024,64
1957,309
1945,171
1988,116
1969,258
1943,261
2020,30
1989,332
1988,312
1939,354
1957,461
2008,271
1954,359
1959,406
1965,57
1947,473
1927,489
1938,39
2013,19
1925,380
1948,157
1969,189
1982,263
1950,54
1987,119
1969,89
1942,337
1998,481
1970,434
2008,101
1933,201
1994,360
1928,271
1967,470
1949,464
1963,35
1998,262
1965,94
1931,98
2005,135
2006,393
1956,203
1929,361
1934,459
2006,301
1972,487
1948,294
1977,371
1975,266
1955,145
1962,388
1942,273
2007,125
1935,98
1952,191
2013,486
1926,356
2023,96
1957,26
1972,199
2004,223
1981,199
1937,406
1934,435
1990,148
1956,142
1952,412
1994,71
2010,311
2024,28
1988,256
1997,293
1948,366
1987,178
1992,471
1993,363
2007,221
1963,296
2012,281
1927,155
2023,114
2004,63
1991,119
1946,216
1973,252
1952,354
1957,143
2003,294
2015,57
1973,453
1954,119
1931,134
1996,486
2010,461
2006,365
1932,165
1960,475
1932,170
1982,411
1949,62
1970,469
2018,426
1969,495
1999,219
2015,397
1984,485
1931,81
1992,259
2012,74
1972,371
1997,266
1953,390
1963,18
1942,98
1967,296
2017,181
2002,108
1959,162
1968,81
1928,104
1971,426
1979,195
1992,326
1959,233
2012,68
1926,308
1933,283
1953,489
1926,163
1959,151
1996,239
1974,165
1952,214
2007,143
1966,135
1936,126
1997,27
1932,469
2011,316
1991,264
2003,213
2012,302
2006,107
1998,357
1930,194
1960,251
1995,335
1979,344
1997,491
1942,14
1926,347
1937,252
2006,78
1931,355
1963,327
1987,408
1959,374
1983,80
1929,108
2019,433
1992,80
1983,161
1994,293
1971,176
1994,226
2017,487
1983,293
1962,220
1975,221
1938,429
1940,194
1963,87
1960,279
2006,281
1995,299
1966,243
1992,383
1977,257
2005,447
1953,300
1958,349
1943,339
1936,166
2021,234
1999,48
1950,180
1925,215
1996,165
1982,12
1972,110
1947,282
2018,433
2009,498
2015,493
2013,227
2017,17
1975,299
1977,209
2005,367
1947,367
1986,102
1990,489
1952,270
1978,429
1946,179
1957,365
2023,323
2007,361
2000,227
1960,235
2018,207
1975,466
1975,375
1984,213
1950,177
1954,413
1961,107
2002,291
1971,440
2007,192
2000,115
1928,365
1934,418
2019,438
1984,268
1976,463
1948,21
2020,189
1986,480
1973,442
1929,208
1933,242
2019,289
1990,239
1975,270
1954,142
1970,65
1986,467
1934,18
1944,492
1958,294
2008,113
1982,272
1943,140
2018,354
1973,351
1979,212
1942,384
1965,21
1975,30
1990,46
1976,208
1973,291
1964,480
1946,101
2013,417
2021,344
2015,162
1982,23
2007,330
1955,455
1950,129
1966,84
1967,31
1968,279
1976,39
1994,145
1932,287
1926,167
2006,96
1990,152
1942,431
1961,10
1973,31
2014,125
1978,487
1954,220
1958,427
1955,18
1952,472
1950,329
2002,121
1931,64
1929,391
1967,358
2014,301
1936,106
1926,184
1969,385
1986,284
1935,377
1954,115
1947,94
1996,124
1997,277
1969,499
1954,180
1995,14
1957,33
1929,344
1928,470
1965,355
1942,139
1973,458
1968,297
1932,418
1935,375
1932,146
1963,467
2014,101
1997,230
2024,241
2021,207
1941,227
1933,148
1970,323
1938,150
1954,103
1956,247
2014,318
1981,313
1980,357
1956,224
2021,214
1950,426
1963,25
1997,286
1993,307
1938,176
2013,248
2019,460
1940,236
1989,143
1956,118
1989,242
1943,171
2006,117
1937,386
1961,241
1977,205
1960,139
1969,168
1932,224
1971,448
1960,322
1950,188
2020,443
1942,258
2002,36
1932,269
2011,453
1937,20
1954,182
1931,54
1927,34
2002,52
1940,206
1998,36
1983,300
1951,365
1950,397
2004,406
2023,16
2007,111
1929,201
2012,172
1957,221
1960,191
2018,331
1937,288
1944,77
1940,183
2017,487
1960,441
1987,128
1989,319
2017,432
1955,165
1970,411
1974,40
1994,276
1979,219
1945,455
1982,262
1972,390
1988,234
1966,211
1926,129
1947,110
1950,302
2001,456
2003,333
1984,475
1944,227
1966,89
2011,69
2005,357
2018,168
1964,197
1976,274
1983,130
2003,229
1954,152
2018,446
1993,416
1927,48
1964,114
1955,40
1986,153
2014,295
1953,291
1933,237
2009,157
1942,414
2015,371
2004,384
2009,15
2003,153
1990,145
1932,367
2009,15
1941,448
1995,55
1996,425
2024,252
1942,334
1975,201
1926,239
1930,327
1982,276
1947,468
1940,323
1976,52
1989,179
2024,399
1973,280
1971,283
1949,466
1946,254
1957,184
1999,146
1997,43
1954,158
1941,265
2007,50
1925,338
1940,249
1951,93
1926,13
2005,321
1968,223
2018,293
1992,63
1953,227
1948,333
2023,59
1938,304
1928,467
1963,137
2018,215
1983,195
1961,212
1927,138
2018,406
1931,348
1935,98
1993,372
1986,173
1981,39
1938,111
2015,409
1978,96
1934,249
1932,107
1972,299
2013,308
2012,478
1927,143
2003,19
1989,279
1962,479
1959,215
1975,17
1993,270
1966,151
2012,296
2024,461
2015,177
2024,13
1961,334
2001,378
1960,482
1932,442
1983,288
1997,90
1938,229
1931,199
1938,311
1966,461
1945,491
1925,186
1959,18
1997,139
2001,450
1945,139
1972,134
2011,320
1938,487
1977,174
2015,130
1994,28
1981,241
1976,52
1927,171
2013,400
1972,138
1991,306
2004,387
1946,21
1926,491
2007,102
1961,83
2022,79
1958,396
1941,177
1944,96
1992,387
1925,183
2014,29
2014,366
1978,84
1947,436
1945,339
1936,321
1943,208
2000,291
1978,231
1948,222
1957,329
1966,433
1941,370
1952,175
1946,493
1955,362
1972,335
1997,434
1989,216
2000,45
1964,378
1960,386
1926,376
1982,402
2000,159
1947,356
2001,26
2007,198
2021,59
1980,182
2004,407
1950,265
2017,93
1971,266
1957,265
1958,253
2020,386
1931,347
1953,174
2021,113
1997,400
1951,372
1977,20
1982,24
1944,477
2021,324
1961,184
1971,128
1996,203
1929,34
1983,360
1937,210
1959,160
2023,477
2015,222
2012,163
2003,309
2024,84
1994,102
1964,106
2000,36
2023,184
1955,117
1961,430
1963,446
1997,484
1998,468
1996,30
1988,90
2004,100
1981,212
1992,234
1972,99
1970,249
2006,86
1927,82
2018,30
1947,202
1982,272
2005,207
1980,262
1929,467
1936,457
1955,171
1960,366
1937,21
2004,311
1982,191
2018,458
1997,242
1994,443
1931,443
1937,437
2012,338
1955,424
1964,212
1956,10
1929,129
1963,342
1989,423
2022,42
1972,402
1980,459
1963,228
2024,477
2006,84
2021,25
1965,472
1984,483
1947,317
2022,65
1983,466
2002,270
1994,366
1995,343
1932,392
1926,44
2011,438
1969,265
1959,445
1959,380
2015,492
2001,170
1935,125
1977,462
1985,156
1995,199
1957,468
1937,497
1947,467
1936,358
1961,394
1991,346
2000,409
2009,433
2013,289
1994,471
1987,416
1931,29
1984,218
1950,358
1972,402
2000,33
2004,449
1949,64
1948,291
1964,259
1937,67
1951,164
1955,47
1984,443
1986,70
1951,489
1995,293
1961,302
1935,55
2008,98
1978,20
1959,447
2004,469
2014,125
2023,336
1970,465
1972,453
1975,500
1975,24
1979,269
2004,403
1959,332
1970,268
1969,220
1971,500
2021,64
1931,282
2006,117
1972,74
1926,142
1960,192
1953,69
1937,310
2011,267
1961,158
1976,253
2011,392
1942,80
1943,493
1944,326
1987,10
1930,88
1943,213
1994,269
1964,161
1941,399
1965,415
1976,472
2015,210
1998,143
1977,151
1965,154
1971,346
2015,180
1977,468
1946,379
2000,301
1971,426
1966,416
1971,261
2013,270
1978,210
2003,42
1954,262
2005,189
2011,395
1989,422
1980,247
1941,207
1990,427
1954,173
2021,17
1988,342
1950,446
1980,287
2016,259
1981,167
1999,459
1990,199
1996,108
2000,319
2013,311
1979,352
1997,427
1932,484
1974,59
1971,460
1959,47
1944,412
1980,474
1980,419
1947,377
1961,405
2000,280
1993,260
1999,268
1984,370
1960,169
1941,104
1986,38
1948,405
1937,61
1998,12
1931,333
1937,280
1970,28
2003,399
1957,389
1954,359
1982,141
1941,139
1989,334
1991,314
1999,240
2006,278
1947,339
1931,459
2014,226
1925,325
2007,408
2024,234
1970,32
2008,471
1983,121
1994,420
1976,117
1946,209
1969,193
1987,12
2020,335
1982,436
1968,398
1963,248
1966,295
1926,122
2023,380
1940,212
1970,82
2001,248
1946,497
1940,488
2011,275
2011,215
2012,449
1999,266
2000,97
2021,296
1959,457
1978,105
1987,438
1959,228
2023,193
2022,292
1929,59
1935,236
1973,43
1999,387
1938,364
2001,104
2009,294
1933,254
1997,383
1932,206
1950,129
1941,400
2019,23
2022,163
1966,173
2023,231
2002,378
1993,193
1997,293
1998,124
2000,398
1969,484
2010,384
1943,22
1934,198
1989,414
1929,373
1926,111
1974,236
